Emerging market by exchanges,,
,,
,,Domicile
600945,Affin Holdings Bhd.,MALAYSIA
600575,Affin-Acf Hldg Bhd Myr1,MALAYSIA
628040,Afgem Limited Zar0.001,SOUTH AFRICA
618797,AFGRI Limited,SOUTH AFRICA
685732,Aflease Gold Ltd Zar0.57,SOUTH AFRICA
B19RP9,Afluente Geracao De Energia Eletrica S.A.,BRAZIL
B56JVX,Afluente Transmissao De Energia Eletrica SA,BRAZIL
B03N0X,AFM Uluslararasi Film Produeksiyon Ticaret ve Sanayi A.S.,TURKEY
B5SR6S,Aforti Holding SA,POLAND
277297,AFP Capital SA,CHILE
200945,AFP Horizonte SA,PERU
201115,AFP Integra SA,PERU
B03HHQ,Afp Union Vida Pen1,PERU
672450,"AfreecaTV Co., Ltd.",SOUTH KOREA
601551,Afribrand Holdings Zar0.01,SOUTH AFRICA
B748RK,Afric Industries SA,MOROCCO
B1J1MQ,Africa Cellular Towers Limited,SOUTH AFRICA
604887,African and Overseas Enterprises Limited Class N,SOUTH AFRICA
604077,African Bank Investments Limited,SOUTH AFRICA
B285NH,African Brick Cent Zar0.001,SOUTH AFRICA
614274,African Dawn Capital Limited,SOUTH AFRICA
607327,African Harvest Ltd.,SOUTH AFRICA
600967,African Life Assurance Co.,SOUTH AFRICA
B01KM7,African Media Entertainment Limited,SOUTH AFRICA
B09BYK,African Oxygen Limited,SOUTH AFRICA
613435,African Partnershi Zar0.01,SOUTH AFRICA
652764,African Rainbow Minerals Gold,SOUTH AFRICA
604112,African Rainbow Minerals Limited,SOUTH AFRICA
B1GDYQ,Afrimat Limited,SOUTH AFRICA
628035,Afriquia Gaz,MOROCCO
B154C4,AfroCentric Investment Corporation Limited,SOUTH AFRICA
670041,Afrox Healthcare Ltd.,SOUTH AFRICA
673586,Aftek Limited,INDIA
B03MN3,Afyon Cimento Sanayi Tuerk A.S.,TURKEY
BCT4Y0,AG Finance Inc.,PHILIPPINES
616403,AG Industries Ltd.,SOUTH AFRICA
643939,Agabang & Company,SOUTH KOREA
B03RPP,Agarwal Industrial Corporation Limited,INDIA
687612,AGC Networks Limited,INDIA
200304,Agencias Universales S.A.,CHILE
B8N3JG,Agencja Rozwoju Innowacji SA,POLAND
211983,Agf Brasil Seguros Com Npv,BRAZIL
B03GC0,Agio Paper & Industries Limited,INDIA
620163,Agma-Lahlou Tazi SA,MOROCCO
672201,Agnite Education Limited,INDIA
561831,Agora SA,POLAND
B1WKXG,Agra Empreendimentos Imo,BRAZIL
B61107,Agre Empreendimentos Imb,BRAZIL
B28XYV,Agrenco Ltd Shs Cert Deposito Bras Repr 1 Sh,BRAZIL
201943,Agricola Nacional S.A.C. e I.,CHILE
598578,Agrimill-Agrimpex Huf1000,HUNGARY
B4ZNYK,"Agrinurture, Inc.",PHILIPPINES
673817,AgriPure Holdings Public Co. Ltd.,THAILAND
656390,Agro Dutch Industries Limited,INDIA
201096,Agro Industrial Exportadora S.A. de C.V.,MEXICO
205683,Agro Industrial Paramonga SA,PERU
200086,Agro Pucala SAA,PERU
613996,Agro Tech Foods Limited,INDIA
277858,Agroguachal SA,COLOMBIA
201074,Agroindustrias San Jacinto SAA,PERU
B5ZV7G,Agrokasa Holdings SA,PERU
B44MZL,Agroliga Group Plc.,CYPRUS
B4RNCC,Agroma SA,POLAND
402424,Agros Holding SA,POLAND
B57Q0M,Agroton plc,CYPRUS
B809ZD,Agrotour SA,POLAND
231123,Aguas Andinas S.A. Class A,CHILE
600123,AGV Products Corp.,TAIWAN
613932,AH-Vest Limited,SOUTH AFRICA
603415,AHB Holdings Bhd.,MALAYSIA
634179,Ahlcon Parenterals (India) Limited,INDIA
600400,Ahli United Bk Of Egypt,EGYPT
B1SM2G,Ahluwalia Contracts (India) Limited,INDIA
615336,Ahmad Zaki Resources Bhd.,MALAYSIA
638099,Ahmedabad Steelcraft Limited,INDIA
600993,Ahmednagar Forgings Limited,INDIA
654603,"Ahn-Gook Pharmaceutical Co., Ltd",SOUTH KOREA
640627,"AhnLab, Inc.",SOUTH KOREA
629048,Ahoku Electronic Co.,TAIWAN
B0QDXM,AIA Engineering Limited,INDIA
606877,Aic Corp Myr1,MALAYSIA
B3QYPH,"AIC, Inc.",TAIWAN
607523,Aig Finance (Thai) Thb10,THAILAND
B12MNM,"Aikang Remetech Co., Ltd",SOUTH KOREA
637044,Aikbee Resources Myr1,MALAYSIA
B7MTB4,Aikchol Hospital Public Co. Ltd.,THAILAND
600682,AIMCO Pesticides Limited,INDIA
